Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
Club & Country,1995,Sports,Managerial / business simulation,DOS,4.9,28% (6),BOMS Computer Games Ltd.,BOMS Computer Games Ltd.,0.0,1.0,Football (European) / Soccer
Locus,1995,Racing / Driving,1st-person,Windows,4.9,39% (9),GT Interactive Software Corp.,GT Interactive Software Corp.,0.0,1.0,Sci-fi / futuristic
Deer Avenger,1998,Action,1st-person,Macintosh,4.9,36% (8),Simon & Schuster Interactive,Simon & Schuster Interactive,0.0,1.0,Hunting
Slot Racers,1978,Action,Top-down,Atari 2600,4.9,32% (4),"Atari, Inc.","Atari, Inc.",0.0,1.0,Fixed / flip-screen
Cyberbykes: Shadow Racer VR,1995,Racing / Driving,1st-person,DOS,4.9,38% (8),"Artificial Software, LLC","Artificial Software, LLC",0.0,1.0,"Motorcycle, Track racing, Vehicle simulator"
Donkey Kong Jr. Math,1983,Educational,Side view,NES,4.9,31% (9),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Nintendo Co., Ltd.",0.0,1.0,Fixed / flip-screen
Dead Space: Ignition,2010,Action,3rd-person (Other),Xbox 360,4.9,39% (10),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,"Platform, Puzzle elements"
David Beckham Soccer,2001,Sports,Top-down,Game Boy Advance,4.9,40% (9),"Rage Games Ltd., Majesco Sales, Inc.",Rage Games Ltd.,0.0,1.0,Football (European) / Soccer
Erotic Empire,2004,Strategy,1st-person,Windows,4.9,38% (10),Zone 2 Studios GmbH,Zone 2 Studios GmbH,0.0,1.0,Managerial / business simulation
Target: Terror,2004,Action,1st-person,Arcade,4.9,40% (15),"Raw Thrills, Inc., Konami Digital Entertainment, Inc.","Raw Thrills, Inc.",0.0,1.0,Rail shooter
Iron Man,2008,Action,3rd-person (Other),Xbox 360,4.9,44% (58),"SEGA Europe Ltd., SEGA of America, Inc.",SEGA Europe Ltd.,0.0,1.0,Shooter
Beast Wrestler,1991,Action,Isometric,Genesis,4.9,38% (5),Riot,Riot,0.0,1.0,Fighting
Cover Girl Strip Poker,1991,Strategy,1st-person,DOS,4.9,35% (9),"Emotional Pictures, Sales Curve Ltd., The, On-Line Entertainment Ltd., Storm",Emotional Pictures,0.0,1.0,Cards / tiles
Harlem Globetrotters: World Tour,2006,Action,3rd-person (Other),Game Boy Advance,4.9,28% (8),"Destination Software, Inc., ZOO Digital Publishing Ltd.","Destination Software, Inc.",0.0,1.0,Basketball
Andre Agassi Tennis,1992,Sports,Diagonal-down,Genesis,4.9,46% (13),"TecMagik Entertainment Ltd., Lance Investments, Radiance Software",TecMagik Entertainment Ltd.,0.0,1.0,Tennis
Undercover AD2025 Kei,2000,Action,3rd-person (Other),Dreamcast,4.9,33% (8),"Pulse Interactive, Inc.","Pulse Interactive, Inc.",0.0,1.0,Shooter
The Simpsons Wrestling,2001,Action,3rd-person (Other),PlayStation,4.9,39% (21),"Big Ape Productions, Inc.","Big Ape Productions, Inc.",0.0,1.0,Wrestling
ECW Hardcore Revolution,2000,Sports,3rd-person (Other),Game Boy Color,4.9,28% (7),Crawfish Interactive Ltd.,Crawfish Interactive Ltd.,0.0,1.0,Wrestling
MotionSports,2010,Sports,3rd-person (Other),Xbox 360,4.9,36% (8),Ubisoft Studios SRL,Ubisoft Studios SRL,0.0,1.0,Arcade
Street Cred Football,1989,Action,Top-down,Commodore 64,4.9,37% (4),Players Premier,Players Premier,0.0,1.0,Football (European) / Soccer
Hilfe! Ich bin ein Fisch,2001,Adventure,3rd-person (Other),Windows,4.9,33% (5),FunDragoon Games & Entertainment GmbH,FunDragoon Games & Entertainment GmbH,0.0,1.0,Real-time
Ju-on: The Grudge,2009,Adventure,1st-person,Wii,4.9,36% (10),feelplus Inc.,feelplus Inc.,0.0,1.0,Horror
World War II Combat: Road to Berlin,2006,Action,1st-person,Windows,4.9,24% (6),"Groove Games, 1C Company",Groove Games,0.0,1.0,Shooter
5th Gear,1988,Action,Top-down,Commodore 64,4.9,47% (8),"Hewson Consultants Ltd., Rack-It, Prism Leisure Corporation Plc",Hewson Consultants Ltd.,0.0,1.0,2D scrolling
Baldur's Gate: Enhanced Edition - Siege of Dragons...,2016,DLC / Add-on,Item,Windows,4.9,62% (3),"Beamdog, Overhaul Games",Beamdog,0.0,1.0,
